devontown,agenew,count(borrower)
Braunton,28,55
Braunton,29,44
Braunton,3,77
Braunton,30,75
Braunton,31,79
Braunton,32,63
Braunton,33,55
Braunton,34,68
Braunton,35,67
Braunton,36,72
Braunton,37,72
Braunton,38,72
Braunton,39,74
Braunton,4,80
Braunton,40,65
Braunton,41,71
Braunton,42,76
Braunton,43,68
Braunton,44,60
Braunton,45,70
Braunton,46,59
Braunton,47,63
Braunton,48,49
Braunton,49,44
Braunton,5,109
Braunton,50,67
Braunton,51,39
Braunton,52,37
Braunton,53,52
Braunton,54,30
Braunton,55,36
Braunton,56,29
Braunton,57,46
Braunton,58,34
Braunton,59,39
Braunton,6,135
Braunton,60,28
Braunton,61,27
Braunton,62,37
Braunton,63,30
Braunton,64,36
Braunton,65,44
Braunton,66,45
Braunton,67,35
Braunton,68,55
Braunton,69,46
Braunton,7,132
Braunton,70,52
Braunton,71,39
Braunton,72,46
Braunton,73,44
Braunton,74,36
Braunton,75,26
Braunton,76,35
Braunton,77,28
Braunton,78,33
Braunton,79,26
Braunton,8,130
Braunton,80,19
Braunton,81,20
Braunton,82,23
Braunton,83,18
Braunton,84,20
Braunton,85,17
Braunton,86,22
Braunton,87,7
Braunton,88,3
Braunton,89,8
Braunton,9,116
Braunton,90,11
Braunton,91,8
Braunton,92,1
Braunton,93,5
Braunton,94,1
Braunton,95,3
Braunton,96,2
Crediton,,564
Crediton,0,15
Crediton,1,37
Crediton,10,181
Crediton,101,1
Crediton,11,154
Crediton,112,1
Crediton,113,1
Crediton,116,3
Crediton,12,140
Crediton,13,150
Crediton,14,122
Crediton,15,115
Crediton,16,101
Crediton,17,112
Crediton,18,94
Crediton,19,99
Crediton,2,78
Crediton,20,79
Crediton,21,95
Crediton,22,97
Crediton,23,71
Crediton,24,79
Crediton,25,82
Crediton,26,96
Crediton,27,74
Crediton,28,114
Crediton,29,81
Crediton,3,112
Crediton,30,78
Crediton,31,85
Crediton,32,87
Crediton,33,93
